OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99003845,Sample-Routine,Water,Surface Water,9/6/90,11:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02080500,,,Falling stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,320,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301830,Sample-Routine,Water,Surface Water,9/15/93,15:25:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429912,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,320,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99500883,Sample-Routine,Water,Surface Water,7/12/95,12:40:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429960,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,320,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800723,Sample-Routine,Water,Surface Water,5/31/78,12:20:00,EDT,,,,,USGS-02106648,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,320,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800150,Sample-Routine,Water,Surface Water,12/16/87,16:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02079785,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,320,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200229,Sample-Routine,Water,Surface Water,1/5/82,10:30:00,EST,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02116500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,3200,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99400416,Sample-Routine,Water,Surface Water,12/7/93,10:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02105769,,,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Weighted-bottle sampler,,Fecal Coliform,33,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400247,Sample-Routine,Water,Surface Water,7/24/84,11:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0208700780,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,330,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200149,Sample-Routine,Water,Surface Water,7/7/82,11:45:00,EDT,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02091500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,330,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300634,Not determined,Water,Surface Water,11/24/82,12:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429920,,,Not determined,Not Determined (historical),USGS,USGS,USGS,Unknown,,Fecal Coliform,330,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99300119,Sample-Routine,Water,Surface Water,11/24/92,14:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429960,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,330,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600110,Sample-Routine,Water,Surface Water,2/19/86,10:40:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210788875,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,330,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99201188,Sample-Routine,Water,Surface Water,2/27/92,13:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429912,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,330,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800449,Sample-Routine,Water,Surface Water,6/13/78,10:15:00,EDT,,,,,USGS-02089500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,330,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400619,Sample-Routine,Water,Surface Water,8/20/84,11:20:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210788875,,,Peak stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,330,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98401074,Not determined,Water,Surface Water,4/30/84,11:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429920,,,Not determined,Not Determined (historical),USGS,USGS,USGS,Unknown,,Fecal Coliform,330,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99701765,Sample-Routine,Water,Surface Water,9/16/97,13:50:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429912,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,330,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97801059,Sample-Routine,Water,Surface Water,5/10/78,8:00:00,EDT,,,,,USGS-02129000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,3300,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98700269,Sample-Routine,Water,Surface Water,1/23/87,13:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,,Peak stage,Flood,USGS,USGS,USGS,Unknown,,Fecal Coliform,3300,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97901136,Sample-Routine,Water,Surface Water,12/11/78,13:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02129000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,34,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99603203,Sample-Routine,Water,Surface Water,5/21/96,12:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429960,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,340,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600126,Sample-Routine,Water,Surface Water,2/19/86,12:20:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789120,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,340,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99501119,Sample-Routine,Water,Surface Water,8/16/95,11:50:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429912,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,340,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500455,Sample-Routine,Water,Surface Water,8/27/85,13:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789120,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,340,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301286,Sample-Routine,Water,Surface Water,6/24/93,10:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214192500,,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81,,Fecal Coliform,340,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400657,Sample-Routine,Water,Surface Water,11/7/83,13:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789120,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,340,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401355,Sample-Routine,Water,Surface Water,2/24/94,10:50:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214192500,,,Falling stage,Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81,,Fecal Coliform,340,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99201971,Sample-Routine,Water,Surface Water,8/10/92,11:00:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,3400,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400194,Sample-Routine,Water,Surface Water,12/6/83,10:05:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02086849,,,Rising stage,Flood,USGS,USGS,USGS,Unknown,,Fecal Coliform,34000,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99300236,Sample-Routine,Water,Surface Water,2/24/93,13:00:00,EST,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02080500,,,Falling stage,Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-76 TM,,Fecal Coliform,35,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800575,Sample-Routine,Water,Groundwater,7/18/88,10:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351258080412701,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,35,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900188,Sample-Routine,Water,Surface Water,6/12/79,12:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02084556,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,35,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-SC,USGS South Carolina Water Science Center,nwissc.01.99800012,Sample-Routine,Water,Surface Water,10/17/97,7:45:00,EST,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-0214390800,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,35,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-SC,USGS South Carolina Water Science Center,nwissc.01.99800025,Sample-Routine,Water,Surface Water,10/15/97,11:30:00,EST,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-0214302790,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,350,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99003113,Sample-Routine,Water,Surface Water,5/16/90,15:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429912,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,350,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401356,Sample-Routine,Water,Surface Water,2/24/94,13:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214183365,,,Falling stage,Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81,,Fecal Coliform,350,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000268,Sample-Routine,Water,Surface Water,6/16/80,16:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,350,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300218,Sample-Routine,Water,Surface Water,5/16/83,11:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,350,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99101349,Sample-Routine,Water,Surface Water,2/11/91,11:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429912,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,3500,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99200273,Sample-Routine,Water,Surface Water,11/20/91,12:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429960,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,36,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99701577,Sample-Routine,Water,Surface Water,6/24/97,12:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429930,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,36,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98900608,Sample-Routine,Water,Surface Water,4/4/89,12:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,,Falling stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,36,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000449,Sample-Routine,Water,Surface Water,3/27/80,14:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02106651,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,36,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99701753,Sample-Routine,Water,Surface Water,4/2/97,12:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214658200,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,36,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200043,Sample-Routine,Water,Surface Water,10/7/81,10:45:00,EDT,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02083500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,36,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600122,Sample-Routine,Water,Surface Water,11/19/85,9:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789120,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,360,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99500066,Sample-Routine,Water,Surface Water,11/30/94,11:55:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03453500,,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-76 TM,,Fecal Coliform,360,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401697,Sample-Routine,Water,Surface Water,5/24/94,12:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214658250,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,360,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500435,Sample-Routine,Water,Surface Water,5/13/85,13:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789100,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,360,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400777,Sample-Routine,Water,Surface Water,5/9/84,11:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03453500,,,Falling stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,3600,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401235,Sample-Routine,Water,Surface Water,1/25/94,15:05:00,EST,0.5,meters,,U.S. Geological Survey-Water Resources Discipline,USGS-0214196095,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,37,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401334,Sample-Routine,Water,Surface Water,1/26/94,15:55:00,EST,0.5,meters,,U.S. Geological Survey-Water Resources Discipline,USGS-0214146100,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,37,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301542,Sample-Routine,Water,Surface Water,8/9/93,12:30:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02083500,,,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-76 TM,,Fecal Coliform,37,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99402591,Sample-Routine,Water,Surface Water,6/23/94,15:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429940,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,370,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100058,Sample-Routine,Water,Surface Water,5/12/81,12:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02084148,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,370,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200271,Sample-Routine,Water,Surface Water,9/13/82,11:00:00,EDT,,,,"USGS-Atlanta Central Laboratory, GA",USGS-03453500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,370,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301120,Sample-Routine,Water,Surface Water,4/6/93,12:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214183365,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,370,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99100904,Sample-Routine,Water,Surface Water,1/10/91,16:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429940,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,3700,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800227,Sample-Routine,Water,Surface Water,4/26/78,21:00:00,EST,,,,,USGS-02084164,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,3700,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99400139,Sample-Routine,Water,Surface Water,11/17/93,15:30:00,EST,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,,Peak stage,Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81 with Teflon cap and nozzle,,Fecal Coliform,38,cfu/100ml,Historical,,Estimated,31625,MF003,USGS,"Fecal coliform, MF, immediate",counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800089,Sample-Routine,Water,Surface Water,11/1/77,11:30:00,EST,,,,,USGS-02080500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,38,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100346,Sample-Routine,Water,Surface Water,9/1/81,11:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02116500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,38,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99400008,Sample-Routine,Water,Surface Water,10/6/93,9:30:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02083500,,,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),Weighted-bottle sampler,,Fecal Coliform,38,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99002411,Sample-Routine,Water,Surface Water,5/22/90,11:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03453500,RR PH;LAB VALUE DUP'D,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,380,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500454,Sample-Routine,Water,Surface Water,8/5/85,13:40:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789120,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,380,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100154,Sample-Routine,Water,Surface Water,1/7/81,12:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,380,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99201753,Sample-Routine,Water,Surface Water,5/5/92,11:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429960,A-1280693 Default ASR Comment,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,380,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800455,Sample-Routine,Water,Surface Water,9/6/78,11:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,380,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99700315,Sample-Routine,Water,Surface Water,4/9/97,10:00:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-0345182580,,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81 with Teflon cap and nozzle,,Fecal Coliform,3800,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401424,Sample-Routine,Water,Surface Water,3/24/94,15:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02141245,,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81,,Fecal Coliform,39,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200080,Sample-Routine,Water,Surface Water,8/23/82,13:30:00,EDT,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02084160,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,390,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99800490,Sample-Routine,Water,Surface Water,4/6/98,13:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429930,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,390,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99001131,Sample-Routine,Water,Surface Water,2/1/90,15:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02083500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,390,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
